연도코드,시도명_short,사고위험지역명,총사고건수,총사망자수,총중상자수,위험점수,사고분석유형명
2018,경북,경상북도 안동시내에서 2018년도에 반경100m 이내 다른사고6건 이상 지역,59,0,23,174.0,안전거리미확보 / U턴중 / 기타 / 신호위반
2017,경북,경상북도 안동시내에서 2017년도에 반경100m 이내 다른사고6건 이상 지역,57,1,18,157.0,U턴중 / 기타 / 안전거리미확보
2020,서울,서울특별시 양천구내에서 2020년도에 반경50m 이내 다른사고12건 이상 지역,66,0,14,136.0,중앙선침범 / U턴중 / 기타 / 안전거리미확보
2018,경북,경상북도 구미시내에서 2018년도에 반경80m 이내 다른사고10건 이상 지역,47,0,17,132.0,U턴중 / 안전거리미확보 / 기타
2020,경북,경상북도 안동시내에서 2020년도에 반경100m 이내 다른사고6건 이상 지역,56,1,13,131.0,U턴중 / 안전거리미확보 / 기타
2019,강원,강원도 원주시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,47,0,16,127.0,기타 / 안전거리미확보 / 신호위반
2020,서울,서울특별시 영등포구내에서 2020년도에 반경50m 이내 다른사고14건 이상 지역,56,1,11,121.0,신호위반 / 기타 / 안전거리미확보
2023,서울,서울특별시 강남구내에서 2023년도에 반경50m 이내 다른사고14건 이상 지역,79,0,8,119.0,기타 / 안전거리미확보 / U턴중 / 신호위반
2024,대전,대전광역시 동구내에서 2024년도에 반경50m 이내 다른사고8건 이상 지역,52,0,12,112.0,안전거리미확보 / 기타 / 신호위반
2021,경기,경기도 의정부시내에서 2021년도에 반경80m 이내 다른사고10건 이상 지역,48,0,12,108.0,U턴중 / 안전거리미확보 / 기타 / 중앙선침범
2024,경기,경기도 성남시 분당구내에서 2024년도에 반경50m 이내 다른사고12건 이상 지역,31,0,15,106.0,기타 / 안전거리미확보
2018,서울,서울특별시 송파구내에서 2018년도에 반경50m 이내 다른사고14건 이상 지역,25,1,14,105.0,안전거리미확보 / 기타 / U턴중
2021,서울,서울특별시 양천구내에서 2021년도에 반경50m 이내 다른사고12건 이상 지역,40,0,12,100.0,안전거리미확보 / 기타 / U턴중
2019,경북,경상북도 경주시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,31,0,13,96.0,안전거리미확보 / 기타
2022,서울,서울특별시 강남구내에서 2022년도에 반경50m 이내 다른사고14건 이상 지역,45,0,10,95.0,기타 / 안전거리미확보
2017,경북,경상북도 경산시내에서 2017년도에 반경100m 이내 다른사고6건 이상 지역,34,0,12,94.0,안전거리미확보 / 신호위반 / 기타 / U턴중
2019,전남,전라남도 목포시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,39,0,11,94.0,U턴중 / 기타 / 안전거리미확보
2022,서울,서울특별시 양천구내에서 2022년도에 반경50m 이내 다른사고12건 이상 지역,14,4,8,94.0,U턴중 / 기타 / 안전거리미확보
2020,부산,부산광역시 부산진구내에서 2020년도에 반경50m 이내 다른사고12건 이상 지역,22,0,14,92.0,U턴중 / 기타 / 안전거리미확보 / 신호위반
2017,강원,강원도 춘천시내에서 2017년도에 반경100m 이내 다른사고6건 이상 지역,43,1,7,88.0,U턴중 / 기타 / 신호위반 / 안전거리미확보
